name,iata,country
American Airlines,AA,United States
Allegiant Air,G4,United States
Air Wisconsin,ZW,United States
Alaska Airlines,AS,ALASKA
American Eagle Airlines,MQ,United States
Capital Cargo International Airlines,PT,United States
Comair,OH,United States
CommutAir,C5,United States
Delta Air Lines,DL,United States
Frontier Airlines,F9,United States
Gandalf Airlines,G7,Italy
Hawaiian Airlines,HA,United States
Horizon Air,QX,United States
JetBlue Airways,B6,United States
Mesa Airlines,YV,United States
Midwest Airlines,YX,United States
Pinnacle Airlines,9E,United States
Southwest Airlines,WN,United States
Spirit Airlines,NK,United States
SkyWest,OO,United States
United Airlines,UA,United States
